,leiden_labels,desc_labels,ctec_db_labels
706,3,4,5
707,3,4,5
708,3,4,5
709,3,4,5
710,3,4,5
711,3,4,5
712,3,4,5
713,3,4,5
714,3,4,5
715,3,4,5
716,3,4,5
717,3,4,5
718,3,4,5
719,3,4,5
720,3,4,5
721,3,4,5
722,3,4,5
723,3,4,5
724,3,4,5
725,3,4,5
726,3,4,5
727,3,4,5
728,3,4,5
729,3,4,5
730,3,4,5
731,3,4,5
732,3,4,5
733,3,4,5
734,3,4,5
735,3,4,5
736,3,4,5
737,3,4,5
738,3,4,5
739,3,4,5
740,3,4,5
741,3,4,5
742,3,4,5
743,3,4,5
744,3,4,5
745,3,4,5
746,3,4,5
747,3,4,5
748,3,4,5
749,3,4,5
750,3,4,5
751,3,4,5
752,3,4,5
753,3,4,5
754,3,4,5
755,3,4,5
756,3,4,5
757,3,4,5
758,3,4,5
759,3,4,5
760,3,4,5
761,3,4,5
762,3,4,5
763,3,4,5
764,3,4,5
765,3,4,5
766,3,4,5
767,3,4,5
768,3,4,5
769,3,4,5
770,3,4,5
771,3,4,5
772,3,4,5
773,3,4,5
774,3,4,5
775,3,4,5
776,3,4,5
777,3,4,5
778,3,4,5
779,3,4,5
780,3,4,5
781,3,4,5
782,3,4,5
783,3,4,5
784,3,4,5
785,3,4,5
786,3,4,5
787,3,4,5
788,3,4,5
789,3,4,5
790,3,4,5
791,3,4,5
792,3,4,5
793,3,4,5
794,3,4,5
795,3,4,5
796,3,4,5
797,3,4,5
798,3,4,5
799,3,4,5
800,3,4,5
801,3,4,5
802,3,4,5
803,3,4,5
804,3,4,5
805,3,4,5
806,1,2,0
807,2,2,0
808,2,2,0
809,2,2,0
810,1,2,0
811,2,2,0
812,1,2,0
813,1,2,0
814,2,2,0
815,1,2,0
816,1,2,0
817,1,2,0
818,1,2,0
819,2,2,0
820,2,2,0
821,1,2,0
822,2,2,0
823,0,2,0
824,2,2,0
825,1,2,0
826,1,2,0
827,1,2,0
828,1,2,0
829,1,2,0
830,1,2,0
831,2,2,0
832,1,2,0
833,1,2,0
834,2,2,0
835,1,1,0
836,1,2,0
837,2,2,0
838,1,2,0
839,2,2,0
840,2,2,0
841,1,2,0
842,1,2,0
843,2,2,0
844,1,2,0
845,11,2,0
846,1,2,0
847,2,2,0
848,5,1,0
849,1,2,0
850,2,2,0
851,1,2,0
852,2,2,0
853,1,2,0
854,1,2,0
855,1,2,0
856,1,2,0
857,1,1,0
858,2,2,0
859,2,2,0
860,2,2,0
861,1,2,0
862,0,2,0
863,1,2,0
864,1,1,0
865,2,1,0
866,1,2,0
867,1,2,0
868,1,2,0
869,1,2,0
870,2,2,0
871,2,2,0
872,1,2,0
873,2,2,0
874,2,2,0
875,1,2,0
876,1,2,0
877,2,2,0
878,1,2,0
879,2,2,0
880,2,1,0
881,2,2,0
882,1,2,0
883,2,2,0
884,2,2,0
885,1,2,0
886,1,2,0
887,2,2,0
888,0,2,0
889,1,2,0
890,2,2,0
891,2,2,0
892,1,2,0
893,2,2,0
894,2,2,0
895,2,2,0
896,1,2,0
897,1,2,0
898,2,2,0
899,1,2,0
900,1,2,0
901,2,1,0
902,1,2,0
903,1,2,0
904,1,2,0
905,2,2,0
906,2,2,0
907,1,2,0
908,1,2,0
909,2,2,0
910,0,2,0
911,1,2,0
912,2,1,0
913,1,2,0
914,1,2,0
915,2,2,0
916,2,2,0
917,2,2,0
918,0,2,0
919,2,2,0
920,1,3,7
921,1,2,0
922,0,2,0
923,2,2,0
924,1,2,0
925,1,1,0
926,1,1,0
927,2,2,0
928,1,2,0
929,2,2,0
930,2,2,0
931,1,2,0
932,2,2,0
933,2,2,0
934,2,2,0
935,2,2,0
936,2,2,0
937,2,2,0
938,2,2,0
939,1,2,0
940,1,2,0
941,2,2,0
942,1,2,0
943,1,2,0
944,2,2,0
945,2,2,0
946,1,2,0
947,2,2,0
948,1,2,0
949,1,2,0
950,1,2,0
951,1,2,0
952,2,2,0
953,1,2,0
954,1,2,0
955,1,1,0
956,2,2,0
957,1,2,0
958,1,2,0
959,2,2,0
960,0,2,0
961,2,2,0
962,1,2,0
963,2,2,0
964,2,2,0
965,1,2,0
966,1,2,0
967,2,2,0
968,2,2,0
969,2,2,0
970,1,2,0
971,2,2,0
972,1,2,0
973,1,2,0
974,2,2,0
975,1,1,0
976,8,7,9
977,8,7,9
978,8,7,9
979,8,7,9
980,8,7,9
981,8,7,9
982,8,7,9
983,15,10,3
984,8,7,9
985,8,7,9
986,15,10,3
987,8,7,9
988,8,7,9
989,15,10,3
990,8,7,9
991,8,7,9
992,8,7,9
993,8,7,9
994,8,7,9
995,8,7,9
996,8,7,9
997,8,7,9
998,8,7,9
999,15,10,3
1000,8,7,9
1001,8,7,9
1002,8,7,9
1003,15,10,3
1004,8,7,9
1005,8,7,9
1006,15,10,3
1007,8,7,9
1008,8,7,9
1009,8,7,9
1010,8,7,9
1011,15,7,9
1012,8,7,9
1013,8,7,9
1014,8,7,9
1015,8,7,9
1016,8,7,9
1017,8,7,9
1018,8,7,9
1019,8,7,9
1020,8,7,9
1021,15,10,3
1022,8,7,9
1023,8,7,9
1024,8,7,9
1025,15,10,3
1026,8,7,9
1027,8,7,9
1028,8,7,9
1029,8,7,9
1030,8,7,9
1031,8,7,9
1032,8,7,9
1033,8,7,9
1034,8,7,9
1035,15,7,9
1036,8,7,9
1037,8,7,9
1038,8,7,9
1039,8,7,9
1040,8,7,9
1041,8,7,9
1042,8,7,9
1043,8,7,9
1044,10,9,1
1045,10,9,1
1046,10,9,1
1047,10,9,1
1048,10,9,1
1049,10,9,1
1050,10,9,1
1051,10,9,1
1052,10,9,1
1053,10,9,1
1054,10,9,1
1055,10,9,1
1056,10,9,1
1057,10,9,1
1058,10,9,1
1059,10,9,1
1060,10,9,1
1061,10,9,1
1062,10,9,1
1063,10,9,1
1064,10,9,1
1065,10,9,1
1066,10,9,1
1067,10,9,1
1068,10,9,1
1069,10,9,1
1070,10,9,1
1071,10,9,1
1072,9,11,10
1073,14,13,4
1074,9,11,10
1075,14,13,4
1076,14,13,4
1077,9,11,10
1078,9,11,10
1079,9,11,10
1080,14,13,4
1081,9,11,10
1082,9,11,10
1083,9,11,10
1084,9,11,10
1085,9,11,10
1086,9,11,10
1087,9,11,10
1088,14,13,4
1089,14,13,4
1090,9,11,10
1091,14,13,4
1092,9,11,10
1093,14,13,4
1094,9,11,10
1095,14,13,4
1096,9,11,10
1097,14,13,4
1098,9,11,10
1099,14,13,4
1100,9,11,10
1101,9,11,10
1102,9,11,10
1103,14,13,4
1104,3,7,9
1105,9,11,10
1106,14,13,4
1107,9,11,10
1108,1,2,0
1109,5,3,7
1110,3,4,5
1111,0,1,0
1112,0,1,0
1113,0,0,0
1114,0,1,0
1115,1,1,0
1116,0,0,0
1117,1,1,0
1118,1,2,0
1119,0,2,0
1120,0,0,0
1121,0,1,0
1122,0,2,0
1123,0,2,0
1124,1,0,0
1125,1,1,0
1126,1,2,0
1127,1,1,0
1128,11,0,0
1129,1,1,0
1130,1,2,0
1131,0,2,0
1132,0,2,0
1133,1,1,0
1134,0,2,0
1135,1,1,0
1136,1,2,0
1137,0,1,0
1138,0,1,0
1139,0,0,0
1140,6,2,0
1141,1,1,0
1142,2,1,0
1143,1,2,0
1144,1,1,0
1145,1,2,0
1146,0,2,0
1147,2,1,0
1148,0,2,0
1149,0,1,0
1150,1,2,0
1151,1,0,0
1152,0,1,0
1153,0,0,0
1154,11,5,6
1155,1,1,0
1156,1,0,0
1157,0,2,0
1158,1,2,0
1159,0,1,0
1160,1,0,0
1161,1,0,0
1162,11,0,0
1163,1,2,0
1164,1,1,0
1165,1,2,0
1166,1,0,0
1167,1,0,0
1168,1,2,0
1169,0,1,0
1170,0,1,0
1171,0,2,0
1172,11,2,0
1173,1,1,0
1174,0,1,0
1175,1,1,0
1176,1,1,0
1177,1,0,0
1178,0,1,0
1179,1,2,0
1180,1,1,0
1181,2,0,0
1182,1,0,0
1183,1,1,0
1184,2,3,7
1185,1,2,0
1186,0,1,0
1187,1,2,0
1188,1,1,0
1189,1,1,0
1190,1,2,0
1191,0,1,0
1192,1,0,0
1193,0,2,0
1194,0,1,0
1195,11,2,0
1196,1,3,7
1197,1,2,0
1198,1,2,0
1199,11,0,0
1200,1,1,0
1201,1,0,0
1202,1,0,0
1203,0,0,0
1204,11,1,0
1205,11,1,0
1206,0,0,0
1207,0,1,0
1208,0,1,0
1209,1,1,0
1210,1,1,0
1211,1,2,0
1212,1,2,0
1213,11,0,0
1214,1,2,0
1215,11,2,0
1216,1,0,0
1217,0,2,0
1218,1,3,7
1219,1,1,0
1220,0,1,0
1221,1,2,0
1222,1,0,0
1223,1,1,0
1224,0,2,0
1225,0,2,0
1226,1,3,7
1227,0,1,0
1228,1,1,0
1229,1,0,0
1230,1,2,0
1231,1,1,0
1232,1,2,0
1233,0,1,0
1234,0,0,0
1235,1,1,0
1236,3,4,5
1237,0,1,0
1238,0,0,0
1239,0,1,0
1240,0,1,0
1241,0,0,0
1242,0,1,0
1243,0,0,0
1244,0,1,0
1245,1,2,0
1246,11,1,0
1247,0,2,0
1248,1,2,0
1249,1,1,0
1250,1,1,0
1251,0,2,0
1252,0,3,7
1253,5,3,7
1254,5,3,7
1255,1,1,0
1256,11,2,0
1257,1,1,0
1258,11,5,6
1259,0,1,0
1260,0,1,0
1261,11,0,0
1262,1,2,0
1263,1,1,0
1264,1,1,0
1265,0,2,0
1266,5,3,7
1267,11,1,0
1268,1,1,0
1269,1,3,7
1270,1,1,0
1271,11,5,6
1272,1,2,0
1273,0,2,0
1274,0,2,0
1275,1,2,0
1276,2,1,0
1277,1,2,0
1278,0,2,0
1279,1,0,0
1280,0,2,0
1281,6,1,0
1282,1,2,0
1283,1,1,0
1284,0,2,0
1285,1,0,0
1286,16,5,6
1287,1,1,0
1288,0,1,0
1289,0,2,0
1290,0,1,0
1291,7,6,8
1292,1,1,0
1293,11,0,0
1294,0,1,0
1295,0,0,0
1296,0,0,0
1297,0,2,0
1298,11,2,0
1299,1,2,0
1300,1,1,0
1301,0,2,0
1302,1,2,0
1303,11,0,0
1304,11,6,8
1305,4,9,1
1306,7,6,8
1307,11,9,1
1308,11,5,6
1309,11,5,6
1310,11,9,1
1311,11,9,1
1312,11,9,1
1313,11,6,8
1314,7,6,8
1315,5,3,7
1316,7,6,8
1317,7,6,8
1318,11,1,0
1319,11,6,8
1320,7,6,8
1321,7,6,8
1322,1,6,8
1323,7,6,8
1324,11,5,6
1325,11,5,6
1326,11,5,6
1327,11,6,8
1328,11,0,0
1329,11,5,6
1330,4,5,6
1331,4,5,6
1332,7,6,8
1333,11,5,6
1334,7,6,8
1335,7,6,8
1336,11,0,0
1337,11,0,0
1338,7,6,8
1339,11,5,6
1340,11,5,6
1341,11,9,1
1342,7,6,8
1343,7,6,8
1344,1,1,0
1345,1,0,0
1346,11,9,1
1347,11,5,6
1348,8,7,9
1349,11,5,6
1350,11,5,6
1351,7,6,8
1352,11,0,0
1353,7,6,8
1354,7,6,8
1355,11,6,8
1356,4,5,6
1357,11,9,1
1358,11,5,6
1359,7,6,8
1360,10,9,1
1361,7,6,8
1362,7,6,8
1363,10,9,1
1364,7,6,8
1365,6,5,6
1366,7,6,8
1367,7,6,8
1368,7,6,8
1369,10,9,1
1370,4,5,6
1371,4,5,6
1372,6,0,0
1373,7,6,8
1374,7,6,8
1375,7,6,8
1376,7,6,8
1377,7,6,8
1378,1,3,7
1379,11,5,6
1380,11,0,0
1381,4,5,6
1382,7,6,8
1383,7,6,8
1384,4,5,6
1385,7,6,8
1386,7,6,8
1387,1,0,0
1388,11,5,6
1389,11,5,6
1390,7,6,8
1391,1,0,0
1392,11,5,6
1393,7,6,8
1394,4,5,6
1395,11,0,0
1396,0,0,0
1397,7,6,8
1398,11,5,6
1399,7,6,8
1400,7,6,8
1401,4,5,6
1402,11,5,6
1403,11,5,6
1404,4,5,6
1405,11,5,6
1406,7,6,8
1407,11,0,0
1408,4,5,6
1409,11,9,1
1410,3,4,5
1411,7,6,8
1412,11,9,1
1413,7,6,8
1414,5,3,7
1415,5,3,7
1416,5,3,7
1417,5,3,7
1418,5,3,7
1419,5,3,7
1420,16,3,7
1421,5,3,7
1422,5,3,7
1423,5,3,7
1424,5,3,7
1425,5,3,7
1426,5,3,7
1427,5,3,7
1428,5,3,7
1429,5,3,7
1430,5,3,7
1431,5,3,7
1432,16,3,7
1433,5,3,7
1434,5,3,7
1435,5,3,7
1436,5,3,7
1437,5,3,7
1438,5,3,7
1439,5,3,7
1440,5,3,7
1441,5,3,7
1442,5,3,7
1443,5,3,7
1444,5,3,7
1445,5,3,7
1446,5,3,7
1447,5,3,7
1448,5,3,7
1449,5,3,7
1450,16,3,7
1451,5,3,7
1452,5,3,7
1453,5,3,7
1454,1,3,7
1455,5,3,7
1456,5,3,7
1457,16,3,7
1458,5,3,7
1459,5,3,7
1460,5,3,7
1461,5,3,7
1462,5,3,7
1463,5,3,7
1464,5,3,7
1465,5,3,7
1466,5,3,7
1467,5,3,7
1468,5,3,7
1469,5,3,7
1470,5,3,7
1471,5,3,7
1472,16,3,7
1473,5,3,7
1474,5,3,7
1475,5,3,7
1476,5,3,7
1477,5,3,7
1478,5,3,7
1479,16,3,7
1480,5,3,7
1481,16,3,7
1482,5,3,7
1483,5,3,7
1484,5,3,7
1485,5,3,7
1486,5,3,7
1487,5,3,7
1488,5,3,7
1489,5,3,7
1490,5,3,7
1491,5,3,7
1492,5,3,7
1493,5,3,7
1494,5,3,7
1495,5,3,7
1496,5,3,7
1497,5,3,7
1498,5,3,7
1499,5,3,7
1500,5,3,7
1501,16,3,7
1502,5,3,7
1503,5,3,7
1504,5,3,7
1505,5,3,7
1506,5,3,7
1507,5,3,7
1508,5,3,7
1509,5,3,7
1510,5,3,7
1511,5,3,7
1512,5,3,7
1513,5,3,7
1514,5,3,7
1515,5,3,7
1516,5,3,7
1517,5,3,7
1518,5,3,7
1519,5,3,7
1520,5,3,7
1521,5,3,7
1522,1,1,0
1523,5,3,7
1524,5,3,7
1525,1,3,7
1526,5,3,7
1527,5,3,7
1528,16,3,7
1529,5,3,7
1530,5,3,7
1531,5,3,7
1532,5,3,7
1533,5,3,7
1534,5,3,7
1535,5,3,7
1536,5,3,7
1537,5,3,7
1538,5,3,7
1539,1,3,7
1540,5,3,7
1541,5,3,7
1542,5,3,7
1543,5,3,7
1544,5,3,7
1545,5,3,7
1546,2,3,7
1547,5,3,7
1548,5,3,7
1549,5,3,7
1550,5,3,7
1551,5,3,7
1552,5,3,7
1553,5,3,7
1554,5,3,7
1555,5,3,7
1556,4,3,7
1557,5,3,7
1558,5,3,7
1559,5,3,7
1560,12,12,2
1561,12,12,2
1562,12,12,2
1563,12,12,2
1564,12,12,2
1565,12,12,2
1566,12,12,2
1567,12,12,2
1568,12,12,2
1569,12,12,2
1570,12,12,2
1571,12,12,2
1572,12,12,2
1573,12,12,2
1574,12,12,2
1575,12,12,2
1576,12,12,2
1577,12,12,2
1578,12,12,2
1579,12,12,2
1580,12,12,2
1581,12,12,2
1582,12,12,2
1583,12,12,2
1584,12,12,2
1585,12,12,2
1586,12,12,2
1587,12,12,2
1588,12,12,2
1589,12,12,2
1590,12,12,2
1591,12,12,2
1592,12,12,2
1593,12,12,2
1594,12,12,2
1595,12,12,2
1596,12,12,2
1597,12,12,2
1598,12,12,2
1599,12,12,2
1600,12,12,2
1601,7,6,8
1602,7,6,8
1603,7,6,8
1604,7,6,8
1605,7,6,8
1606,7,6,8
1607,7,6,8
1608,7,6,8
1609,7,6,8
1610,7,6,8
1611,7,6,8
1612,7,6,8
1613,3,4,5
1614,7,6,8
1615,7,6,8
1616,7,6,8
1617,7,6,8
1618,7,6,8
1619,7,6,8
1620,7,6,8
1621,7,6,8
1622,7,6,8
1623,7,6,8
1624,7,6,8
1625,7,6,8
1626,7,6,8
1627,7,6,8
1628,7,6,8
1629,7,6,8
1630,7,6,8
1631,7,6,8
1632,7,6,8
1633,7,6,8
1634,7,6,8
1635,7,6,8
1636,7,6,8
1637,7,6,8
1638,7,6,8
1639,10,6,8
1640,7,6,8
1641,7,6,8
1642,7,6,8
1643,7,6,8
1644,7,6,8
1645,7,6,8
1646,7,6,8
1647,7,6,8
1648,7,6,8
1649,7,6,8
1650,7,6,8
1651,10,6,8
1652,7,6,8
1653,7,6,8
1654,7,6,8
1655,7,6,8
1656,2,3,7
1657,2,3,7
